Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
ROS86	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						J2b1a		19946	0+/-0		
ROS88	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5792 +/- 33BP (SUERC-46279)	4720-4635	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						K2a9		12354	0+/-0		
ROS91	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5812 +/- 30BP (OxA-27815)	4730-4645	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						K2a		16748	0+/-0		
ROS96	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						K2b1		5294	0.255+/-0.02		
ROS100	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5789 +/- 33BP (SUERC-46283)	4720-4635	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						T2b	I2a	15046			
ROS102	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500 	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture + shotgun	EF-MN1	EF-MN1	71.2	XY	K1a1a	I2a1b	K1a1	I2a1a2	22503	0+/-0	0.017169	0.02328368
ROS108	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5787 +/- 33BP (SUERC-46278)	4720-4635	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1											
ROS111	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5791 +/- 33BP (SUERC46284)	4720-4635	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						J1c		17230			
ROS115	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						T2b	I2a1a2~	27170	0.005+/-0.005		
BUCH5	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny			Grand-Est (East)	Aube	C. Paresys	PB	21	capture	EF-MN1											
BUCH4	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny	5625 +/- 35BP (Poz-60682)	4527-4365	Grand-Est (East)	Aube	C. Paresys	PB	21	capture	EF-MN1						H1c		8704	0+/-0		
BUCH3	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny	5575 +/- 35BP (Poz-60662)	4464-4346	Grand-Est (East)	Aube	C. Paresys	PB	21	capture	EF-MN1						K1b1a1		14017	0+/-0		
BUCH8	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny			Grand-Est (East)	Aube	C. Paresys	PB	21	capture	EF-MN1											
BUCH6	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny		4400-4200	Grand-Est (East)	Aube	C. Paresys	PB	21	capture	EF-MN1						K1a4		23848	0.12+/-0.00499999999999999		
BUCH2	PLA D39	Buchères	48.23569	4.11263	Middle Neolithic 1 	Cerny		4400-4200 	Grand-Est (East)	Aube	C. Paresys	PB	21	 shotgun	EF-MN1	EF-Cer	29.8	XY	U5b1-16189	H2a1			22154	0+/-0	0.011248	0.007817365
BERG57	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5255 +/- 35BP (Poz-53881)	4230-3978	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						H5		5001	0+/-0		
