Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
NOR2B6	Nordhouse	Nordhouse	48.44526	7.67118	First Iron Age	Hallstatt C - Early "La Tène"		800-700 	Grand-Est (East)	Bas-Rhin	S. Plouin 	PB	11	shotgun	F-IA	EF-IA1	69.936	XX	K1a2a							
NOR3-15	Nordhouse	Nordhouse	48.44526	7.67118	First Iron Age	Hallstatt C - Early "La Tène"		800-700 	Grand-Est (East)	Bas-Rhin	S. Plouin	PB	11	shotgun	F-IA	EF-IA1	53.368	XX	J1c2o							
NOR3-6	Nordhouse	Nordhouse	48.44526	7.67118	First Iron Age	Hallstatt C - Early "La Tène"		620-500 	Grand-Est (East)	Bas-Rhin	S. Plouin	PB	11	shotgun	F-IA	EF-IA1	80.019	XX	H7d							
NOR4	Nordhouse	Nordhouse	48.44526	7.67118	First Iron Age	Hallstatt C - Early "La Tène"		620-480 	Grand-Est (East)	Bas-Rhin	S. Plouin	PB	11	shotgun	F-IA	EF-IA1	48.755	XX	U5a1a1							
NOR2B2	Nordhouse	Nordhouse	48.44526	7.67118	First Iron Age	Hallstatt C - Early "La Tène"		-	Grand-Est (East)	Bas-Rhin	S. Plouin	PB	11	capture	F-IA			XY			J1c-16261	G2a	5977	0.185+/-0.005		
JEB8	Jebsen Boden	Sainte-Croix-en-Plaine	48.00894	7.38445	First Iron Age	Hallstatt		600-400 	Grand-Est (East)	Haut-Rhin	C. Georjon	PB	14	shotgun	F-IA	EF-IA1	64.394	XX	J1c8a							
ERS1164	Erstein Untergasse	Erstein	48.42353	7.66326	Second Iron Age	"La Tène"		400-100 	Grand-Est (East) 	Bas-Rhin	F. Abert	PB	12	shotgun	F-IA	EF-IA2	77.088	XX	H2a2a1							
ERS86	Erstein Untergasse	Erstein	48.42353	7.66326	Second Iron Age	"La Tène"		400-100 	Grand-Est (East) 	Bas-Rhin	F. Abert	PB	12	shotgun	F-IA	EF-IA2	58.057	XX	HV0							
ERS88	Erstein Untergasse	Erstein	48.42353	7.66326	Second Iron Age	"La Tène"		400-100 	Grand-Est (East) 	Bas-Rhin	F. Abert	PB	12	shotgun	F-IA	EF-IA2	79.662	XX	U5a1g							
BERG351-2	Saulager	Bergheim	48.2058	7.3625	Second Iron Age	Early "La Tène"		-	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	F-IA						K1a-195		9471	0+/-0		
BERG643-2	Saulager	Bergheim	48.2058	7.3625	Second Iron Age	Early "La Tène"		-	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	F-IA						K1c1		16711	0+/-0		
COL11	Jardin des Aubépines	Colmar	48.07935	7.35851	Second Iron Age	"La Tène B"		360-320 	Grand-Est (East)	Haut-Rhin	M. Roth-Zehner	PB	13	shotgun	F-IA	EF-IA2	44.646	XX	H2b							
COL153A	Jardin des Aubépines	Colmar	48.07935	7.35851	Second Iron Age	"La Tène B"		360-320 	Grand-Est (East)	Haut-Rhin	M. Roth-Zehner	PB	13	shotgun	F-IA	EF-IA2	57.196	XX	K1a26							
COL153i	Jardin des Aubépines	Colmar	48.07935	7.35851	Second Iron Age	"La Tène B"		360-320 	Grand-Est (East)	Haut-Rhin	M. Roth-Zehner	PB	13	shotgun	F-IA	EF-IA2	57.062	XX	H1q							
BFM265	le fond du Marais	Bucy-le-Long	49.39009	3.39243	Second Iron Age	"La Tène C1"		250-190 	Hauts-de-France (North)	Aisne	C. Thevenet	PB	33	shotgun	F-IA	EF-IA2	67.633	XX	U2e1b2							
ATT26	Le Buissonnet	Attichy-Bitry	49.41303	3.0484	Second Iron Age	"La Tène B1-B2"		350-200 	Hauts-de-France (North) 	Oise	S. Desenne	PB	32	shotgun	F-IA	EF-IA2	20.637	XX	H8							
BES1248	La Monédière	Bessan	43.3614	3.42701	Second Iron Age	"La Tène"		200-50 	Occitanie (South) 	Hérault	A. Beylier	PB	53	shotgun	F-IA	SF-IA2	75.391	XY	J1c8a2	I1					0.011658	0.01167867
PECH5	Pech Maho	Sigean	43.04563	2.95644	Second Iron Age	"La Tène"		600-300 	Occitanie (South)	Aude	E. Gailledrat	PB	51	capture + shotgun	F-IA	SF-IA2	82.349	XY	H1e1b1a	R1b1a1a2a	H1ab	R1b1a1a2	12956	0.04+/-0.005		
PECH8	Pech Maho	Sigean	43.04563	2.95644	Second Iron Age	"La Tène"		600-300 	Occitanie (South)	Aude	E. Gailledrat	PB	51	capture + shotgun	F-IA	SF-IA2	76.1	XY	J1c2m	R1b1a1a2a1a	J1c3j	R1b1a1a2a1a2c1a1a1a1a1	15011	0.015+/-0.005	0.021095	0.02271851
PECH10	Pech Maho	Sigean	43.04563	2.95644	Second Iron Age	"La Tène"		600-300 	Occitanie (South)	Aude	E. Gailledrat	PB	51	capture	F-IA						H1t	R1b1	7356	0+/-0		
PECH3	Pech Maho	Sigean	43.04563	2.95644	Second Iron Age	"La Tène"		600-300 	Occitanie (South)	Aude	E. Gailledrat	PB	51	capture	F-IA						V	R1b1a1a	5227	0+/-0		
PECH9	Pech Maho	Sigean	43.04563	2.95644	Second Iron Age	"La Tène"		600-300 	Occitanie (South)	Aude	E. Gailledrat	PB	51	capture	F-IA						J1c5		11363	0.04+/-0.005		
CLR05	Le Cailar	Le Cailar	43.67556	4.23619	Second Iron Age	"La Tène"		400-300 	Occitanie (South)	Gard	R. Roure 	TO	49	capture	F-IA						H-16291		3810	0.51+/-0.03		
CLR1	Le Cailar	Le Cailar	43.67556	4.23619	Second Iron Age	"La Tène"		400-300 	Occitanie (South)	Gard	R. Roure 	TO	49	capture	F-IA						H3-16311	R1b1a1a2	8343	0.035+/-0.01		
CLR11	Le Cailar	Le Cailar	43.67556	4.23619	Second Iron Age	"La Tène"		400-300 	Occitanie (South)	Gard	R. Roure 	TO	49	capture	F-IA						U8	E1b1b	18218	0+/-0		
CLR12	Le Cailar	Le Cailar	43.67556	4.23619	Second Iron Age	"La Tène"		400-300 	Occitanie (South)	Gard	R. Roure 	TO	49	capture	F-IA						H1		7106	0.09+/-0.04		
CLR13	Le Cailar	Le Cailar	43.67556	4.23619	Second Iron Age	"La Tène"		400-300 	Occitanie (South)	Gard	R. Roure 	TO	49	capture	F-IA						W5b		11176	0.08+/-0.02		
PT2	Oppidum du Plan de la Tour	Gailhan	43.84402	4.03237	Second Iron Age	"La Tène"		450-400 	Occitanie (South)	Gard	B. Dedet	PB	50	shotgun	F-IA	SF-IA2	58.212	XX	J1c1b1							
PEY163	Le Peyrou	Agde	43.31137	3.48196	Second Iron Age	"La Tène"		400-200 	Occitanie (South) 	Hérault	B. Dedet	PB	52	shotgun	F-IA	SF-IA2	60.277	XY	W1g	R1b1a1a2					0.030399	0.03287894
PEY53	Le Peyrou	Agde	43.31137	3.48196	Second Iron Age	"La Tène"		200-150 	Occitanie (South) 	Hérault	B. Dedet	PB	52	shotgun	F-IA	SF-IA2	66.873	XX	J1c11a							
PEY74	Le Peyrou	Agde	43.31137	3.48196	Second Iron Age	"La Tène"		400-200 	Occitanie (South) 	Hérault	B. Dedet	PB	52	capture	F-IA						H-152	R	23853	0+/-0		
