Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
VK179	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	I1	I1	1.92	0.996	0	1.1.3.3.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK183	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	I1	I1	0.56	0.994	0	1.1.3.3.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK184	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	R1a	R1a1a1b1a3a1	1.37	0.995	0	1.1.3.4.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK75	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	64.25	-50.1	Margyaran_Nature_2020	675	633	654	direct	XY	R1b	R1b1a1b1a1	0.29	0.991	0	1.1.3.3.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK190	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.55	-45.34	Margyaran_Nature_2020	630	545	588	direct	XY	I1	I1	6.78	0.997	0	1.1.3.3.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK214	Gerdrup	Denmark	NorthernEurope	Denmark_BronzeAge	55.73	12.12	Margyaran_Nature_2020	3,839	3,725	3,782	direct	XX			0.13	0.983	0	1.1.2.3.1.12	Scandivia_4000BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK582	Alken_Enge	Denmark	NorthernEurope	Denmark_IronAge	56.05	9.94	Margyaran_Nature_2020	1,950	1,850	1,900	context	XY	I2a	I2a1b1a2b	0.11	0.985	0	1.1.1.5.1.1	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK521	Brondsager Torsiinre	Denmark	NorthernEurope	Denmark_IronAge	55.64	12.24	Margyaran_Nature_2020			1,650	context	XY	I1	I1	4.73	0.998	0	1.1.2.3.1.1	Scandivia_4000BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK213	Gerdrup	Denmark	NorthernEurope	Denmark_IronAge	55.73	12.12	Margyaran_Nature_2020	1,559	1,423	1,491	direct	XX			0.12	0.985	0	1.2.1.2.1.2.1.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK532	Kragehave Odetofter	Denmark	NorthernEurope	Denmark_IronAge	55.66	12.25	Margyaran_Nature_2020			950	context	XY	I1	I1	4.19	0.997	0	1.1.2.1.1.1.12	EuropeNE_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK65	Tollemosegard	Denmark	NorthernEurope	Denmark_VikingAge	55.87	12.08	Margyaran_Nature_2020	1,450	950	1,200	context	XX			0.52	0.993	0	1.1.1.2.1.1.8	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK69	Tollemosegard	Denmark	NorthernEurope	Denmark_VikingAge	55.87	12.08	Margyaran_Nature_2020	1,450	950	1,200	context	XX			0.80	0.993	0	1.1.1.3.1.1.2.1	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK70	Tollemosegard	Denmark	NorthernEurope	Denmark_VikingAge	55.87	12.08	Margyaran_Nature_2020	1,450	950	1,200	context	XY	I1a	I1a1	6.99	0.998	0	1.1.1.3.1.2.2.1	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK71	Tollemosegard	Denmark	NorthernEurope	Denmark_VikingAge	55.87	12.08	Margyaran_Nature_2020	1,450	950	1,200	context	XY	I1	I1	0.18	0.986	0	1.1.2.2.3.8	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK312	Rantzausminde	Denmark	NorthernEurope	Denmark_VikingAge	55.05	10.53	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.37	0.990	0	1.1.1.5.1.5	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK313	Rantzausminde	Denmark	NorthernEurope	Denmark_VikingAge	55.05	10.53	Margyaran_Nature_2020	1,100	1,050	1,075	context	XY	R1b	R1b1a1b1a1	0.33	0.992	0	1.3.1.1.1.3	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK314	Rantzausminde	Denmark	NorthernEurope	Denmark_VikingAge	55.05	10.53	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.30	0.991	0	1.2.1.2.1.1.3	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK329	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	1,239	1,086	1,163	direct	XY	R1b	R1b1a1b1a1a2a1a1	1.25	0.995	0	1.1.1.2.1.2.2	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK325	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	1,172	1,009	1,091	direct	XX			0.61	0.994	0	1.1.1.1.2.2.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK328	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	1,172	986	1,079	direct	XX			1.17	0.996	0	1.1.1.2.3.4	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK326	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	981	934	958	direct	XY	R1b	R1b1a1b1a1	1.32	0.996	0	1.1.1.2.1.2.4	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK327	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	960	930	945	direct	XY	I1a	I1a2a1a1a1a	1.22	0.995	0	1.1.1.2.2.3	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK324	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	955	921	938	direct	XY	R1b	R1b1a1b1a1a1c2b1	1.41	0.995	0	1.1.1.4.1.3	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK323	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	1,050	750	900	context	XY	R1b	R1b1a1b1a1	1.41	0.995	0	1.1.1.2.2.3	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK322	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	929	803	866	direct	XX			1.28	0.995	0	1.2.1.1.3.10	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK330	Ribe	Denmark	NorthernEurope	Denmark_VikingAge	55.33	8.76	Margyaran_Nature_2020	923	799	861	direct	XX			1.08	0.994	0	1.2.1.1.2.1.7	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK301	Ladby	Denmark	NorthernEurope	Denmark_VikingAge	55.43	10.61	Margyaran_Nature_2020	1,310	1,060	1,185	context	XY	I1a	I1a2a1a1a2~	0.76	0.994	0	1.1.1.2.1.2.3	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK319	Ladby	Denmark	NorthernEurope	Denmark_VikingAge	55.43	10.61	Margyaran_Nature_2020			1,150	context	XX			0.57	0.994	0	1.1.1.3.1.1.1.5	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK294	Bakkendrup	Denmark	NorthernEurope	Denmark_VikingAge	55.56	11.25	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			1.15	0.995	0	1.1.2.2.1.1.8	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK315	Bakkendrup	Denmark	NorthernEurope	Denmark_VikingAge	55.56	11.25	Margyaran_Nature_2020	1,100	1,050	1,075	context	XY	I1	I1	0.61	0.994	0	1.1.1.2.2.2	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK369	Bakkendrup	Denmark	NorthernEurope	Denmark_VikingAge	55.56	11.25	Margyaran_Nature_2020	1,100	1,050	1,075	context	XY	R1b	R1b1a1b1a1	1.19	0.996	0	1.1.1.5.2.5	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK300	Hesselbjerg	Denmark	NorthernEurope	Denmark_VikingAge	55.95	10.2	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.52	0.994	0	1.1.1.3.2.6	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK340	Hesselbjerg	Denmark	NorthernEurope	Denmark_VikingAge	55.95	10.2	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.65	0.994	0	1.3.1.1.1.9	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK384	Hesselbjerg	Denmark	NorthernEurope	Denmark_VikingAge	55.95	10.2	Margyaran_Nature_2020	1,100	1,050	1,075	context	XY	R1b	R1b1a1b1a1a1c2b1a	1.26	0.996	0	1.1.1.4.1.7	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK84	Hesselbjerg	Denmark	NorthernEurope	Denmark_VikingAge	55.95	10.2	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			1.20	0.993	0	1.1.1.1.3.9	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK87	Hesselbjerg	Denmark	NorthernEurope	Denmark_VikingAge	55.95	10.2	Margyaran_Nature_2020	1,100	1,050	1,075	context	XY	R1b	R1b1a1b1a1	3.15	0.997	0	1.1.1.4.1.8	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK385	Lejre	Denmark	NorthernEurope	Denmark_VikingAge	55.6	11.95	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			1.56	0.996	0	1.1.1.4.2.6	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK90	Lejre	Denmark	NorthernEurope	Denmark_VikingAge	55.6	11.95	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.33	0.991	0	1.2.1.2.1.2.1.4	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK92	Lejre	Denmark	NorthernEurope	Denmark_VikingAge	55.6	11.95	Margyaran_Nature_2020	1,100	1,050	1,075	context	XX			0.35	0.992	0	1.1.1.3.1.1.2.2	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK445	Lejre	Denmark	NorthernEurope	Denmark_VikingAge	55.62	11.97	Margyaran_Nature_2020	1,050	750	900	context	XY	I1	I1	1.42	0.996	0	1.1.3.1.1.2.8	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK94	Lejre	Denmark	NorthernEurope	Denmark_VikingAge	55.62	11.97	Margyaran_Nature_2020	1,050	750	900	context	XX			0.15	0.985	0	1.2.1.2.1.1.7	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK371	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,170	960	1,065	context	XX			0.67	0.994	0	1.1.2.2.2.1.10	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK134	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	R1b	R1b1a1b1a1	0.67	0.994	0	1.1.2.3.1.11	Scandivia_4000BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK138	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	R1b	R1b1a1b1a1	0.41	0.991	0	1.1.1.1.3.4	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK139	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	R1a	R1a1a1b1	0.58	0.993	0	1.3.1.1.2.2	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK278	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XX			0.68	0.993	0	1.1.1.3.2.1	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK280	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	I2a	I2a1b	0.35	0.992	0	1.1.1.2.1.2.2	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK370	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XX			1.33	0.996	0	1.1.2.2.1.1.11	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK372	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XX			1.37	0.996	0	1.1.3.1.1.1.2.4	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK373	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	R1b	R1b1a1b1a1	1.14	0.996	0	1.1.1.2.3.6	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK446	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	1,050	750	900	context	XY	I1	I1	1.60	0.996	0	1.1.1.2.1.1.1	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK141	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	950	850	900	context	XX			1.94	0.996	0	1.1.2.2.1.1.1	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK279	Galgedil	Denmark	NorthernEurope	Denmark_VikingAge	55.5	10.33	Margyaran_Nature_2020	950	850	900	context	XY	I1a	I1a1	2.50	0.997	0	1.1.6	DenmarkUK_1000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK289	Bodkergarden	Denmark	NorthernEurope	Denmark_VikingAge	54.8	10.69	Margyaran_Nature_2020	1,050	950	1,000	context	XY	R1b	R1b1a1b1a1	0.84	0.995	0	1.1.1.2.1.1.1	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK291	Bodkergarden	Denmark	NorthernEurope	Denmark_VikingAge	54.8	10.69	Margyaran_Nature_2020	1,050	950	1,000	context	XY	I1a	I1a1b1	1.16	0.996	0	1.1.2.2.1.1.7	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK281	Barse	Denmark	NorthernEurope	Denmark_VikingAge	55.13	11.95	Margyaran_Nature_2020	950	850	900	context	XY	I1a	I1a1	2.13	0.997	0	1.1.2.2.2.1.9	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK298	Besser	Denmark	NorthernEurope	Denmark_VikingAge	55.85	10.64	Margyaran_Nature_2020			900	context	XX			0.41	0.993	0	1.1.1.2.2.2	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK286	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	R1b	R1b1a1b1a1	0.84	0.995	0	1.2.1.1.3.9	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK288	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XX			0.84	0.995	0	1.1.2.2.3.4	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK292	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	R1a	R1a	0.10	0.981	0	1.2.1.2.1.1.2	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK320	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	I1	I1	1.43	0.996	0	1.1.2.2.1.1.10	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK338	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	R1b	R1b1a1b1a1	0.59	0.994	0	1.1.1.1.3.7	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK361	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XX			1.28	0.996	0	1.1.1.3.1.2.2.3	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK362	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	E1b	E1b1b1a1b1	0.67	0.994	0	1.3.1.1.1.7	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK363	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	I1a	I1a2a1a1a5	1.39	0.996	0	1.1.1.1.3.2	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK364	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XX			1.61	0.997	0	1.1.1.2.1.1.4	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK365	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	R1b	R1b1a1b1a1	0.80	0.995	0	1.2.1.1.2.2.6	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK366	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XX			0.69	0.995	0	1.1.1.5.2.4	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK367	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XY	I1	I1	1.10	0.996	0	1.1.2.1.1.2.7	EuropeNE_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK368	Bogovej	Denmark	NorthernEurope	Denmark_VikingAge	54.87	10.72	Margyaran_Nature_2020	950	850	900	context	XX			1.28	0.996	0	1.1.1.1.3.2	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK284	Grydehoj	Denmark	NorthernEurope	Denmark_VikingAge	55.65	12.14	Margyaran_Nature_2020	1,050	750	900	context	XX			1.13	0.996	0	1.1.1.2.1.1.2	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK295	Hessum	Denmark	NorthernEurope	Denmark_VikingAge	55.51	10.45	Margyaran_Nature_2020	1,050	750	900	context	XY	I1	I1	0.59	0.994	0	1.1.2.2.3.5	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK316	Hessum	Denmark	NorthernEurope	Denmark_VikingAge	55.51	10.45	Margyaran_Nature_2020	1,050	750	900	context	XY	I1	I1	1.52	0.996	0	1.1.1.1.2.2.2	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK296	Hundstrup	Denmark	NorthernEurope	Denmark_VikingAge	55.15	11.87	Margyaran_Nature_2020	1,290	1,170	1,230	context	XY	I1	I1	0.48	0.991	0	1.1.2.1.1.1.2	EuropeNE_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK297	Hundstrup	Denmark	NorthernEurope	Denmark_VikingAge	55.15	11.87	Margyaran_Nature_2020	1,280	1,120	1,200	context	XY	I1a	I1a1b1	0.70	0.994	0	1.1.1.1.1.2.2	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK274	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XY	R1a	R1a1a1b1a2b	1.79	0.996	0	1.3.1.1.2.1	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK275	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XY	I1	I1	0.47	0.993	0	1.1.1.3.1.1.2.1	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK276	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XX			0.12	0.982	0	1.2.1.2.1.1.5	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK285	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XX			0.67	0.995	0	1.1.1.2.2.5	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK287	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XY	R1b	R1b1a1b1a1a1c2b2b	0.52	0.993	0	1.3.1.1.1.2	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK317	Kaargarden	Denmark	NorthernEurope	Denmark_VikingAge	54.85	10.78	Margyaran_Nature_2020	950	850	900	context	XY	J2a	J2a1a1a2b2	1.29	0.996	0	1.1.1.3.2.2	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK290	Kumle	Denmark	NorthernEurope	Denmark_VikingAge	54.89	10.74	Margyaran_Nature_2020	950	850	900	context	XY	R1b	R1b1a1b1a1a1c2b1b3	1.48	0.997	0	1.1.2.2.1.1.6	EuropeN_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK282	Stengade	Denmark	NorthernEurope	Denmark_VikingAge	54.96	10.83	Margyaran_Nature_2020	950	850	900	context	XY	R1a	R1a1a1b	0.46	0.993	0	1.3.1.2.1.7	EuropeNE_2600BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK579	Oland	Sweden	NorthernEurope	Sweden_IronAge	56.51	16.43	Margyaran_Nature_2020	1,750	1,550	1,650	context	XY	N1a	N1a1a1a1a1a1	0.13	0.982	0	1.3.1.2.1.3	EuropeNE_2600BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
VK522	Oland	Sweden	NorthernEurope	Sweden_IronAge	56.54	16.61	Margyaran_Nature_2020	1,644	1,484	1,564	context	XX			7.28	0.998	0	1.1.2.1.1.1.11	EuropeNE_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK350	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.73	16.72	Margyaran_Nature_2020	1,219	1,083	1,151	context	XX			1.59	0.996	0	1.2.1.1.3.11	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK349	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.46	16.43	Margyaran_Nature_2020	1,178	1,064	1,121	context	XY	R1b	R1b1a1b1a1a2c1a4b2c	1.31	0.994	0	1.2.1.1.1.2.4	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK355	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.29	16.41	Margyaran_Nature_2020	1,168	1,036	1,102	context	XY	L	L	1.18	0.993	0	1.1.1.1.3.8	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK442	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.42	16.43	Margyaran_Nature_2020	1,168	1,036	1,102	context	XX			1.26	0.995	0	1.2.1.1.2.1.9	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK444	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.42	16.43	Margyaran_Nature_2020	1,168	1,036	1,102	context	XY	R1b	R1b1a1b1a1a1c2b2a	0.83	0.995	0	1.1.1.2.3.8	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK358	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.81	16.73	Margyaran_Nature_2020	1,168	1,026	1,097	context	XX			1.05	0.993	0	1.1.2.1.1.1.3	EuropeNE_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK336	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.81	16.73	Margyaran_Nature_2020	1,164	1,030	1,097	context	XY	R1b	R1b1a1b1a1	1.27	0.994	0	1.2.1.1.2.2.1	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK332	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.42	16.43	Margyaran_Nature_2020	1,160	1,024	1,092	context	XY	I2a	I2a1b1a2b	1.52	0.994	0	1.1.1.4.1.5	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK337	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.48	16.58	Margyaran_Nature_2020	1,160	1,024	1,092	context	XY	I1a	I1a2a1	2.13	0.996	0	1.1.1.3.1.2.1.4	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK333	Oland	Sweden	NorthernEurope	Sweden_VikingAge	56.58	16.46	Margyaran_Nature_2020	1,134	996	1,065	context	XY	R1b	R1b1a1b1a1	1.22	0.994	0	1.1.1.1.2.1.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
