Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE550	Peshany V	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.56	43.68	Allentoft_Nature_2015	5,284	4,585	4,935	direct	XY	R1b	R1b1a1b1b	0.44	0.994	0	1.2.3.1.11	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE546	Temrta IV	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.54	43.7	Allentoft_Nature_2015	5,250	4,450	4,850	context	XY	R1b	R1b1a1	0.13	0.987	0	1.2.3.1.8	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE548	Temrta IV	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.54	43.7	Allentoft_Nature_2015	5,250	4,450	4,850	context	XY	R1b	R1b1a1b1b	0.91	0.996	0	1.2.3.1.10	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE547	Temrta IV	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.54	43.7	Allentoft_Nature_2015	4,837	4,584	4,711	direct	XY	R1b	R1b1a1b1b	0.69	0.995	0	1.2.3.1.9	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE240	Sukhaya Termista I	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.58	43.68	Allentoft_Nature_2015	4,830	4,582	4,706	direct	XX			0.17	0.990	0	1.2.3.1.3	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE552	Ulan	Russia	CentralEasternEurope	Russia_BronzeAge_Yamnaya	46.62	43.33	Allentoft_Nature_2015	4,799	4,093	4,446	direct	XY	I2a	I2a1b1a2	2.46	0.996	0	1.2.3.1.12	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE555	Stalingrad Quarry	Russia	CentralEasternEurope	Russia_BronzeAge	48.72	44.5	Allentoft_Nature_2015	4,807	4,447	4,627	direct	XY	R1b	R1b1a1b1b	0.24	0.989	0	1.2.3.1.13	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE386	Bulanovo	Russia	CentralEasternEurope	Russia_BronzeAge_Sintashta	52.45	55.16	Allentoft_Nature_2015	4,248	3,995	4,122	direct	XY	R1a	R1a	0.93	0.989	0	1.2.2.2.1.1.5	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE392	Stepnoe VII Cemetery	Russia	CentralEasternEurope	Russia_BronzeAge_Sintashta	53.88	59.08	Allentoft_Nature_2015	4,076	3,846	3,961	direct	XY	R1a	R1a1a1b2	1.14	0.993	0	1.2.2.2.1.1.6	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE394	Bulanovo	Russia	CentralEasternEurope	Russia_BronzeAge_Sintashta	52.45	55.16	Allentoft_Nature_2015	3,899	3,704	3,802	direct	XX			0.39	0.990	0	1.2.2.2.1.1.1	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE395	Bol'shekaraganskii	Russia	CentralEasternEurope	Russia_BronzeAge_Sintashta	52.64	59.54	Allentoft_Nature_2015	3,910	3,706	3,808	direct	XX			2.38	0.996	0	1.2.2.2.1.1.7	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE523	Kapova cave	Russia	CentralEasternEurope	Russia_BronzeAge_Mezhovskaya	53.04	57.07	Allentoft_Nature_2015	3,548	3,348	3,448	direct	XX			2.22	0.997	0	1.2.2.2.1.1.2	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE525	Kapova cave	Russia	CentralEasternEurope	Russia_BronzeAge_Mezhovskaya	53.04	57.07	Allentoft_Nature_2015	3,250	2,750	3,000	context	XY	R1a	R1a1a1b2	0.20	0.986	0	1.2.2.2.1.1.2	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE423	Nerquin Getashen	Armenia	WesternAsia	Armenia_BronzeAge	40.14	45.26	Allentoft_Nature_2015	3,352	3,161	3,257	direct	XY	E1b	E1b1b1b2a1a1	0.37	0.989	0	2.1.3.1.1.3	Caucasus_3300BP_1300BP	EuropeWCAsia_25000BP_300BP	PostNeol_Caucasus
RISE407	Norabak	Armenia	WesternAsia	Armenia_BronzeAge	40.15	45.86	Allentoft_Nature_2015	3,065	2,845	2,955	direct	XX			0.19	0.984	0	2.1.3.1.1.3	Caucasus_3300BP_1300BP	EuropeWCAsia_25000BP_300BP	PostNeol_Caucasus
